name,lat,lng,country,rating
Chili's Grill & Bar,41.6880823,-91.6064178,USA,4
Honkers Pub & Eatery,49.705195,-112.8007849,Canada,4.4
Lt's Pub,45.5046129,-122.4257956,USA,4
L'Hendrix Pub,47.9000051,1.9068217,France,4.3
Station Bar and Grill,40.331489,-74.5058865,USA,3.9
Shenanigans,42.5282118,-90.68182449999999,USA,4.5
The Irish House,12.9838671,80.1658966,India,3.9
T J's Cafe,32.4758173,-97.81732029999999,USA,4.2
Killashee Hotel,53.1912483,-6.6746943,Ireland,4.4
The Allies Pub,39.7277578,-121.8394456,USA,4.9
Shaker and Vine Wine Bar and Restaurant,53.4587919,-6.220292499999999,Ireland,4.7
Victors Bar & Restaurant,52.649525,-7.251667,Ireland,4.5
Britannia Wigan Hotel,53.5895174,-2.6835554,United Kingdom,3
Bulls and Bears,39.641026,-77.72075099999999,USA,4.1
Courtneys Public Bar,54.0016011,-6.4051028,Ireland,4.3
BISOUS CLUB,41.3152103,19.4738218,Albania,4.2
The hole in the wall,53.1404675,-4.2754607,United Kingdom,5
City Squire,42.805063,-73.903947,USA,4.3
Levels Brewhouse,-7.9391659,112.6361923,Indonesia,4.4
Allstar,59.61027240000001,16.5492068,Sweden,4
Grape Juice,30.0465989,-99.142105,USA,4.6
The Michael Collins Pub,43.770005,11.256333,Italy,4.3
Temple Craft Soho,-34.5880195,-58.42694419999999,Argentina,4.4
Pub 43,41.5065287,-5.739684,Spain,4.7
Mark's Grill,36.2856619,-116.0508175,USA,4.3
Murphy's Law,41.4396585,-81.7227096,USA,4.4
Dagda pub,55.7679633,37.6293058,107045,4.4
Punjabi bar and restaurant,23.3494799,85.3289082,India,3.1
Murphy's Meeting Point,45.6521965,13.777781,Italy,4.5
The Grey Hen,54.976043,-1.422492,United Kingdom,4.3
Nytorv 11,56.451065,9.409952299999999,Denmark,4.3
Mojito Royal,48.0079651,0.197719,France,4.4
The Charred Oak Tavern,41.8930282,-70.9101094,USA,4.6
Little Joe's Bar & Grill,44.10326,-70.17671299999999,USA,4.4
JoJo's Bar & Grill,42.3459121,-88.0040432,USA,4.1
Old Chapel Pub,49.00763440000001,8.4145013,Germany,4.6
La Internacional,43.3625756,-5.8608956,Spain,4.1
Kelly Lou Cafe and Cakery,53.0260942,-7.3001983,Ireland,4.5
The White Horse,51.4064401,-0.4058454,United Kingdom,4.4
Royal Inverell,-29.7692496,151.1177614,Australia,4.1
Paddy Murphys,44.8009784,-68.77132569999999,USA,4.5
Pine Hill Tavern,39.7812537,-74.994916,USA,4.3
The Shamrock Pub,59.92744130000001,10.7652004,Norway,3.6
The Republic,40.7340012,-73.4459042,USA,4.4
Pahad Poisid,58.37988999999999,26.7232751,Estonia,4.4
The Duchess Of Markham,43.8761268,-79.26015749999999,Canada,4.3
Antonia's at The Beach Restaurant and Bar,42.4276393,-70.9806246,USA,4
Caffe Rossini's - Savannah Mall,-23.9041074,29.48762889999999,South Africa,4.2
Chili's Grill & Bar,30.059877,-99.16814939999999,USA,4
O'learys Sportsbar & Restaurant,69.647758,18.9544113,Norway,3.8
Downtown Ale House,40.1779001,-122.2364663,USA,4.7
Taverna del Maltese,41.1212858,16.8662842,Italy,4.1
Armstrong Brewing Company,37.6556992,-122.4130921,USA,4.5
22 Klicks Bar and Grill,34.9806513,-78.95971089999999,USA,4.3
La Carboneria,36.5283904,-6.1913319,Spain,3.4
Trail Stop Tavern,44.80509259999999,-93.1081225,USA,4.4
The Old Corner Bank,61.0580667,28.1859769,Finland,4
Beef 'O' Brady's,41.0953398,-81.3883803,USA,3.8
Komb's Bar,-22.0264244,-47.8744275,Brazil,4.4
Ambiente Bar Pub Billard,47.4987863,9.7315817,Austria,4.4
Guinness Harp Pub,45.47732269999999,9.225532099999999,Italy,4.3
Bamburgh,54.9886773,-1.404647,United Kingdom,4.1
Mellow Mushroom,38.7581559,-90.6363604,USA,4.3
Fiesta Mexicana Holly Springs,35.639882,-78.837908,USA,4.3
The Crown & Anchor,36.6001397,-121.8946458,USA,4.5
Dixies Lounge,52.3390046,-6.4601475,Ireland,5
Brasserie de la Mairie,43.5302089,5.447862799999999,France,3.2
The WingHouse of Pinellas Park,27.8422414,-82.6864904,USA,4.2
B-Bar Barbara Jančar s.p.,46.39487159999999,16.2725785,Slovenia,1
Cigar Factory,41.010888,-95.885688,USA,4.6
Burger Pub,44.048823,43.06301089999999,357500,4.7
Liverpool Pub,38.9937166,-1.8574086,Spain,4.3
McMenamins Edgefield Distillery,45.537115,-122.4065816,USA,0
Maggie McFly's® Glastonbury,41.7216829,-72.6162508,USA,4.1
Bowling du Bras d'Or,43.5216949,5.444838600000001,France,4.1
Kitchen Zone,52.77898889999999,-108.2987982,Canada,4.8
Market House,51.27491999999999,0.521458,United Kingdom,4.3
Peppermill Bar & Grill,41.80331289999999,-107.2188631,USA,3.9
Flight Martini and Wine Lounge,40.3383607,-74.60063319999999,USA,3.8
Shenanigans Sports Bar,31.4468486,-100.4803052,USA,4.1
Big Bats Cafe,38.9817961,-76.3195401,USA,4.4
Carey's Bar,42.77917360000001,-96.9334965,USA,4.5
The Barrel,41.2626595,-95.8452903,USA,4.5
Baker Street Pub & Grill,29.7420119,-95.77610729999999,USA,4
Perry's Steakhouse & Grille,29.7420105,-95.7744519,USA,4.4
Huey's Collierville,35.0529359,-89.73299089999999,USA,4.4
Back Nine Pub,32.82772,-80.041373,USA,4.3
The Old Irish,48.1553838,11.5859386,Germany,4.7
Twin Peaks Warrenville,41.8027773,-88.16873149999999,USA,4.3
Wynnstay Arms Wrexham by Marston's Inn,53.0451,-2.99128,United Kingdom,3.9
century pub,-20.2363928,-70.1503967,Chile,3.9
Blend Bar & Grill Bexleyheath,51.45804529999999,0.1353312,United Kingdom,3.7
The Old Grainstore,53.798659,-9.5227497,Ireland,4.6
Porterhouse,53.7995317,-9.5222175,Ireland,4.6
Paris Grill,40.611281,-80.264012,USA,4.2
Twisted Wrench,31.085971,-97.64548219999999,USA,4.7
Stellar Restaurant & Bar,-39.934602,175.055399,New Zealand,4
Gilhouly's,39.0571817,-94.6059841,USA,4.5
The Shamrock - Irish Pub Kassel,51.31488299999999,9.486514000000001,Germany,4.4
New Grace Restaurant,40.2304046,-76.8334897,USA,4
Maggie Meyers Irish Pub,34.7335286,-86.6341047,USA,4.3
7th Street Pub & Brewery,9.9984361,-84.11338909999999,Costa Rica,4.4
Charlot Gin Bar,39.2251164,-8.690942,Portugal,4.5
The Irish Rover Pub,39.715562,-104.987208,USA,4.4
The Racehorse,50.9034591,-3.4930623,United Kingdom,4.6
Heaven's Gate,16.555779,104.747755,Laos,4.4
Nu-Cavu,41.62274,-74.14135019999999,USA,4.5
Crown & Thistle,51.6695858,-1.2804968,United Kingdom,4.3
The Pub Pembroke Pines,26.006057,-80.336517,USA,4.5
IRIE BAR,19.3583821,98.44192129999999,Thailand,3.5
Jose's Supper Club,35.152352,-92.729029,USA,4
Waxy O'Connor's Irish Pub,42.0745714,-71.2574027,USA,3.7
Red Hen Restaurant,41.2907429,-72.37571779999999,USA,4.1
Seamróg,41.6528721,-4.7204118,Spain,4.4
The Juniper Room,37.089065,-88.60235209999999,USA,4.7
Mack's Pub and Grill,44.386201,-88.1552859,USA,4.6
Wee Johnny's Irish Pub,49.8974,-97.137604,Canada,4.1
Whiskey & June,35.489323,-120.670798,USA,4.3
Oktober Bar,-39.0318762,-67.5763652,Argentina,4.2
The Brazen Head,41.6456238,-87.7385571,USA,4.3
The Castle Tavern,52.83678099999999,-6.932764,Ireland,4.6
The Angel,50.9060442,-1.4009806,United Kingdom,4
Kelly's Bar Hamtramck,42.3919194,-83.0597828,USA,4.4
Pazzo Italian Grill,40.3522609,-79.8533863,USA,4.1
Moe's Restaurant,41.139827,-81.480468,USA,4.6
The Juke Joint,30.414025,-88.816279,USA,4.4
Airport Inn,42.6972438,-87.89316819999999,USA,4.3
The Red Kite,53.652767,-1.522191,United Kingdom,4.1
sherlock easy bar,39.63714119999999,22.416184,Greece,4.3
Suds Brothers Brewery,39.1590389,-108.7326726,USA,4.1
Life Gallery Bar,40.62154200000001,20.7816194,Albania,4.7
Copper Canyon Grill,38.9202845,-76.8461864,USA,4.2
The Gentleman Loser Pub,-8.0953238,-34.8841316,Brazil,4.2
The Hobbit,50.91879609999999,-1.3951723,United Kingdom,4.5
Joes Bar,54.82662010000001,-7.4630468,United Kingdom,4.4
Jack Patrick's Bar & Grill,38.629083,-90.194766,USA,4.3
Townsite Brewing Inc,49.874028,-124.551094,Canada,4.7
Tellenbar,46.8826686,8.641174399999999,Switzerland,3.7
Craft Street Kitchen,28.0492754,-82.70058329999999,USA,4.6
Doolin's Pub,44.1563072,-69.97321459999999,USA,4.7
Mac Ewan's,46.1559572,-1.1548622,France,4.6
Greens Sports Bar & Grill,36.0398949,14.2296392,Malta,4.6
Wiarton Inn & Restaurant,44.7450084,-81.1411538,Canada,3.9
Living Bar,10.4125347,-71.4545906,Venezuela,4.2
The Woodford,51.898897,-8.47575,Ireland,4.4
Sahm's Smokehouse,39.9898914,-85.7550787,USA,4.4
Rancho Mateo,40.8064542,-73.9971042,USA,4.3
Gallaghers Ltd,54.8888346,-2.9271449,United Kingdom,4
Granite Creek Vineyards LLC,34.782143,-112.447191,USA,4.7
Mark's Pub,38.9021619,-77.20556959999999,USA,4.3
McJoy's Choice,55.6799342,12.591332,Denmark,3.9
The Buena Vista,37.8065045,-122.4207783,USA,4.6
Applebee's Grill + Bar,46.570636,-120.4808659,USA,3.9
Box 60,-22.8769678,-42.0082611,Brazil,4.5
Hangar,45.5333504,13.6501337,Slovenia,4.5
Luxury Boxx Sports Bar,42.4430375,-71.02918,USA,3.9
Brother's Irish Pub,-17.3708027,-66.1567137,Bolivia,4.6
Buffalo Wild Wings,36.87957,-89.5816545,USA,3.9
Muddy Murphy's Irish Pub,1.307456,103.828996,Singapore 238879,4.3
The Bishops Arms,62.39025889999999,17.3099747,Sweden,4.2
Kennedy's Bar & Restaurant,53.9605988,-1.0833965,United Kingdom,4.1
Cahenys Bar,54.2660124,-8.471481899999999,Ireland,4.3
Cafofo da Inez,-22.2352306,-45.93945679999999,Brazil,4.5
Daisy's Saloon & Liquor,36.8443233,-121.5366238,USA,4.4
The King's Tun,51.4114225,-0.3006012,United Kingdom,4
Bar do Carioca,-18.863505,-41.9407045,Brazil,4.5
The Snug,37.79083749999999,-122.4343982,USA,4.5
Tapline Growler,35.63779299999999,-78.829957,USA,4.8
Grand,43.725673,19.6985413,Serbia,4.4
Cantaria Bar Restaurant,-45.4032383,-72.691954,Chile,4.6
The Dubliner Irish Pub,7.7401985,98.7732816,Thailand,4.1
